"prvdr_id","msr_cd","scr"
"'050677'","HAC_1","0.000"
"'050678'","HAC_1","0.000"
"'050684'","HAC_1","0.000"
"'050686'","HAC_1","0.000"
"'050688'","HAC_1","0.000"
"'050689'","HAC_1","0.325"
"'050690'","HAC_1","0.000"
"'050696'","HAC_1","0.000"
"'050697'","HAC_1","0.000"
"'050701'","HAC_1","0.000"
"'050704'","HAC_1","0.000"
"'050708'","HAC_1","0.000"
"'050709'","HAC_1","0.000"
"'050710'","HAC_1","0.000"
"'050714'","HAC_1","0.000"
"'050717'","HAC_1","0.000"
"'050723'","HAC_1","0.000"
"'050724'","HAC_1","0.000"
"'050726'","HAC_1","0.000"
"'050727'","HAC_1","0.000"
"'050732'","HAC_1","0.805"
"'050735'","HAC_1","0.000"
"'050736'","HAC_1","0.000"
"'050737'","HAC_1","0.000"
"'050738'","HAC_1","0.000"
"'050739'","HAC_1","0.070"
"'050740'","HAC_1","0.000"
"'050742'","HAC_1","0.000"
"'050744'","HAC_1","0.000"
"'050745'","HAC_1","0.000"
"'050746'","HAC_1","0.000"
"'050747'","HAC_1","0.000"
"'050748'","HAC_1","0.000"
"'050751'","HAC_1","0.000"
"'050752'","HAC_1","0.000"
"'050754'","HAC_1","0.000"
"'050755'","HAC_1","0.000"
"'050757'","HAC_1","0.000"
"'050758'","HAC_1","0.000"
"'050760'","HAC_1","0.000"
"'050761'","HAC_1","0.000"
"'050763'","HAC_1","0.000"
"'050764'","HAC_1","0.113"
"'050765'","HAC_1","0.000"
"'050766'","HAC_1","0.000"
"'050767'","HAC_1","0.000"
"'050768'","HAC_1","0.000"
"'050769'","HAC_1","0.000"
"'050770'","HAC_1","Not Available"
"'050771'","HAC_1","Not Available"
"'050772'","HAC_1","Not Available"
"'050773'","HAC_1","Not Available"
"'051300'","HAC_1","Not Available"
"'051301'","HAC_1","Not Available"
"'051302'","HAC_1","Not Available"
"'051303'","HAC_1","Not Available"
"'051304'","HAC_1","Not Available"
"'051305'","HAC_1","Not Available"
"'051306'","HAC_1","Not Available"
"'051307'","HAC_1","Not Available"
"'051308'","HAC_1","Not Available"
"'051309'","HAC_1","Not Available"
"'051310'","HAC_1","Not Available"
"'051311'","HAC_1","Not Available"
"'051312'","HAC_1","Not Available"
"'051314'","HAC_1","Not Available"
"'051315'","HAC_1","Not Available"
"'051316'","HAC_1","Not Available"
"'051317'","HAC_1","Not Available"
"'051318'","HAC_1","Not Available"
"'051319'","HAC_1","Not Available"
"'051320'","HAC_1","Not Available"
"'051321'","HAC_1","Not Available"
"'051323'","HAC_1","Not Available"
"'051324'","HAC_1","Not Available"
"'051325'","HAC_1","Not Available"
"'051326'","HAC_1","Not Available"
"'051327'","HAC_1","Not Available"
"'051328'","HAC_1","Not Available"
"'051329'","HAC_1","Not Available"
"'051330'","HAC_1","Not Available"
"'051331'","HAC_1","Not Available"
"'051332'","HAC_1","Not Available"
"'053302'","HAC_1","Not Available"
"'053305'","HAC_1","Not Available"
"'053309'","HAC_1","Not Available"
"'060001'","HAC_1","0.000"
"'060003'","HAC_1","0.000"
"'060004'","HAC_1","0.000"
"'060006'","HAC_1","0.000"
