"Prvdr_id","PSI_4_SURG_COMP","PSI_4_SURG_COMP_F","PSI_6_IAT_PTX","PSI_6_IAT_PTX_F","PSI_12_POSTOP_PULMEMB_DVT","PSI_12_POSTOP_PULMEMB_DVT_F","PSI_14_POSTOP_DEHIS","PSI_14_POSTOP_DEHIS_F","PSI_15_ACC_LAC","PSI_15_ACC_LAC_F","PSI_90_SAFETY","PSI_90_SAFETY_F","PSI_4_SURG_COMP_NUM_DC","PSI_4_SURG_COMP_RATE","PSI_4_SURG_COMP_LOW_EST","PSI_4_SURG_COMP_HIGH_EST","PSI_6_IAT_PTX_NUM_DC","PSI_6_IAT_PTX_RATE","PSI_6_IAT_PTX_LOW_EST","PSI_6_IAT_PTX_HIGH_EST","PSI_12_POSTOP_PULMEMB_DVT_NUM_DC","PSI_12_POSTOP_PULMEMB_DVT_RATE","PSI_12_POSTOP_PULMEMB_DVT_LOW_EST","PSI_12_POSTOP_PULMEMB_DVT_HIGH_EST","PSI_14_POSTOP_DEHIS_NUM_DC","PSI_14_POSTOP_DEHIS_RATE","PSI_14_POSTOP_DEHIS_LOW_EST","PSI_14_POSTOP_DEHIS_HIGH_EST","PSI_15_ACC_LAC_NUM_DC","PSI_15_ACC_LAC_RATE","PSI_15_ACC_LAC_LOW_EST","PSI_15_ACC_LAC_HIGH_EST","PSI_90_SAFETY_NUM_DC","PSI_90_SAFETY_RATE","PSI_90_SAFETY_LOW_EST","PSI_90_SAFETY_HIGH_EST"
"190176","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Worse than U.S. National Rate",,"Worse than U.S. National Rate",,"87","133.66","93.10","174.22","5915","0.55","0.23","0.87","1716","4.25","1.72","6.77","207","0.57","0.00","2.39","6094","3.72","2.66","4.79","Not Available","1.08","0.85","1.31"
"190177","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"70","127.13","85.94","168.32","3730","0.17","0.00","0.50","1267","2.18","0.00","5.05","100","0.70","0.00","2.72","4008","2.12","0.83","3.41","Not Available","0.53","0.26","0.79"
"190183","Number of Cases Too Small","1","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"8","Not Available","Not Available","Not Available","1253","0.50","0.08","0.92","246","4.29","0.00","8.83","65","1.82","0.00","3.93","1322","2.48","0.60","4.36","Not Available","0.78","0.38","1.18"
"190184","Not Available","7","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Number of Cases Too Small","1","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","Not Available","Not Available","Not Available","527","0.31","0.00","0.74","25","4.05","0.00","9.18","12","Not Available","Not Available","Not Available","543","1.70","0.00","4.01","Not Available","0.58","0.11","1.05"
"190190","Not Available","7","No Different than U.S. National Rate",,"Not Available","7","Not Available","7","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","Not Available","Not Available","Not Available","746","0.31","0.00","0.74","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","762","1.74","0.00","4.09","Not Available","0.59","0.11","1.07"
"190199","Not Available","7","No Different than U.S. National Rate",,"Not Available","7","Not Available","7","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","Not Available","Not Available","Not Available","31","0.32","0.00","0.76","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","32","1.83","0.00","4.23","Not Available","0.61","0.11","1.10"
"190201","Number of Cases Too Small","1","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"10","Not Available","Not Available","Not Available","727","0.29","0.00","0.72","395","2.96","0.00","7.34","93","0.79","0.00","2.92","779","2.31","0.49","4.13","Not Available","0.63","0.24","1.02"
"190202","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"30","104.89","57.93","151.84","2531","0.30","0.00","0.67","563","3.70","0.65","6.76","59","0.69","0.00","2.70","2608","1.93","0.27","3.60","Not Available","0.58","0.26","0.90"
"190204","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"27","100.92","53.36","148.48","2154","0.23","0.00","0.60","452","3.50","0.00","7.07","65","0.68","0.00","2.67","2284","1.92","0.26","3.58","Not Available","0.60","0.27","0.93"
"190205","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"98","93.84","51.99","135.69","4611","0.40","0.06","0.73","2188","6.32","3.61","9.04","80","1.78","0.00","3.86","4894","1.73","0.64","2.82","Not Available","0.70","0.46","0.93"
"190208","Not Available","7","No Different than U.S. National Rate",,"Not Available","7","Not Available","7","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","Not Available","Not Available","Not Available","609","0.31","0.00","0.74","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","616","1.75","0.00","4.10","Not Available","0.59","0.11","1.07"
"190218","Not Available","7","No Different than U.S. National Rate",,"Number of Cases Too Small","1","Not Available","7","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","Not Available","Not Available","Not Available","1016","0.30","0.00","0.73","7","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","1101","1.69","0.00","3.99","Not Available","0.58","0.11","1.04"
"190236","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Better than U.S. National Rate",,"64","123.87","81.53","166.21","6325","0.15","0.00","0.44","1368","2.03","0.00","4.79","196","0.52","0.00","2.25","6591","0.84","0.00","2.02","Not Available","0.30","0.06","0.54"
