"Provider ID","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"040088","SPP_1","1.01",,"01/01/2012","12/31/2012"
"040114","SPP_1","0.98",,"01/01/2012","12/31/2012"
"040118","SPP_1","0.99",,"01/01/2012","12/31/2012"
"040119","SPP_1","1.00",,"01/01/2012","12/31/2012"
"040134","SPP_1","0.91",,"01/01/2012","12/31/2012"
"040137","SPP_1","1.15",,"01/01/2012","12/31/2012"
"040147","SPP_1","0.91",,"01/01/2012","12/31/2012"
"040152","SPP_1","1.03",,"01/01/2012","12/31/2012"
"050002","SPP_1","1.05",,"01/01/2012","12/31/2012"
"050006","SPP_1","0.93",,"01/01/2012","12/31/2012"
"050007","SPP_1","0.88",,"01/01/2012","12/31/2012"
"050008","SPP_1","0.99",,"01/01/2012","12/31/2012"
"050009","SPP_1","0.93",,"01/01/2012","12/31/2012"
"050013","SPP_1","0.84",,"01/01/2012","12/31/2012"
"050014","SPP_1","0.89",,"01/01/2012","12/31/2012"
"050017","SPP_1","0.94",,"01/01/2012","12/31/2012"
"050018","SPP_1","1.07",,"01/01/2012","12/31/2012"
"050022","SPP_1","1.05",,"01/01/2012","12/31/2012"
"050024","SPP_1","1.13",,"01/01/2012","12/31/2012"
"050025","SPP_1","0.97",,"01/01/2012","12/31/2012"
"050026","SPP_1","1.01",,"01/01/2012","12/31/2012"
"050028","SPP_1","0.91",,"01/01/2012","12/31/2012"
"050030","SPP_1","0.88",,"01/01/2012","12/31/2012"
"050036","SPP_1","1.04",,"01/01/2012","12/31/2012"
"050038","SPP_1","0.97",,"01/01/2012","12/31/2012"
"050039","SPP_1","0.96",,"01/01/2012","12/31/2012"
"050040","SPP_1","0.86",,"01/01/2012","12/31/2012"
"050042","SPP_1","0.91",,"01/01/2012","12/31/2012"
"050043","SPP_1","0.99",,"01/01/2012","12/31/2012"
"050045","SPP_1","0.89",,"01/01/2012","12/31/2012"
"050046","SPP_1","0.87",,"01/01/2012","12/31/2012"
"050047","SPP_1","0.90",,"01/01/2012","12/31/2012"
"050054","SPP_1","1.02",,"01/01/2012","12/31/2012"
"050055","SPP_1","0.90",,"01/01/2012","12/31/2012"
"050056","SPP_1","1.03",,"01/01/2012","12/31/2012"
"050057","SPP_1","0.96",,"01/01/2012","12/31/2012"
"050058","SPP_1","1.05",,"01/01/2012","12/31/2012"
"050060","SPP_1","0.99",,"01/01/2012","12/31/2012"
"050063","SPP_1","1.11",,"01/01/2012","12/31/2012"
"050067","SPP_1","0.93",,"01/01/2012","12/31/2012"
"050069","SPP_1","1.00",,"01/01/2012","12/31/2012"
"050070","SPP_1","0.73",,"01/01/2012","12/31/2012"
"050071","SPP_1","0.81",,"01/01/2012","12/31/2012"
"050072","SPP_1","0.80",,"01/01/2012","12/31/2012"
"050073","SPP_1","0.79",,"01/01/2012","12/31/2012"
"050075","SPP_1","0.80",,"01/01/2012","12/31/2012"
"050076","SPP_1","0.73",,"01/01/2012","12/31/2012"
"050077","SPP_1","1.04",,"01/01/2012","12/31/2012"
"050078","SPP_1","1.00",,"01/01/2012","12/31/2012"
"050079","SPP_1","0.95",,"01/01/2012","12/31/2012"
"050082","SPP_1","0.99",,"01/01/2012","12/31/2012"
"050084","SPP_1","1.01",,"01/01/2012","12/31/2012"
"050089","SPP_1","1.02",,"01/01/2012","12/31/2012"
"050090","SPP_1","0.87",,"01/01/2012","12/31/2012"
"050091","SPP_1","0.91",,"01/01/2012","12/31/2012"
"050093","SPP_1","1.00",,"01/01/2012","12/31/2012"
"050096","SPP_1","0.89",,"01/01/2012","12/31/2012"
"050099","SPP_1","1.04",,"01/01/2012","12/31/2012"
"050100","SPP_1","1.00",,"01/01/2012","12/31/2012"
"050101","SPP_1","1.02",,"01/01/2012","12/31/2012"
"050102","SPP_1","1.13",,"01/01/2012","12/31/2012"
