"prvdr_id","msr_cd","scr","footnote"
"231330","HAI_4_PROCDAYS","Not Available","5"
"231330","HAI_4_CI_UPPER",,"5"
"231330","HAI_4_CI_LOWER",,"5"
"240006","HAI_1_SIR","Not Available","5"
"240006","HAI_1_ELIGCASES","0.060","5"
"240006","HAI_1_NUMERATOR","0","5"
"240006","HAI_1_DEVICEDAYS","Not Available","4"
"240006","HAI_1_CI_UPPER",,"5"
"240006","HAI_1_CI_LOWER",,"5"
"240006","HAI_2_SIR","Not Available","5"
"240006","HAI_2_ELIGCASES","0.033","5"
"240006","HAI_2_NUMERATOR","0","5"
"240006","HAI_2_DEVICEDAYS","25","5"
"240006","HAI_2_CI_UPPER",,"5"
"240006","HAI_2_CI_LOWER",,"5"
"240006","HAI_3_SIR","Not Available","5"
"240006","HAI_3_ELIGCASES","0.116","5"
"240006","HAI_3_NUMERATOR","0","5"
"240006","HAI_3_PROCDAYS","4","5"
"240006","HAI_3_CI_UPPER",,"5"
"240006","HAI_3_CI_LOWER",,"5"
"240006","HAI_4_SIR","Not Available","5"
"240006","HAI_4_ELIGCASES","0.100","5"
"240006","HAI_4_NUMERATOR","0","5"
"240006","HAI_4_PROCDAYS","10","5"
"240006","HAI_4_CI_UPPER",,"5"
"240006","HAI_4_CI_LOWER",,"5"
"241301","HAI_1_SIR","Not Available","5"
"241301","HAI_1_ELIGCASES","Not Available","5"
"241301","HAI_1_NUMERATOR","Not Available","5"
"241301","HAI_1_DEVICEDAYS","Not Available","4"
"241301","HAI_1_CI_UPPER",,"5"
"241301","HAI_1_CI_LOWER",,"5"
"241301","HAI_2_SIR","Not Available","5"
"241301","HAI_2_ELIGCASES","Not Available","5"
"241301","HAI_2_NUMERATOR","Not Available","5"
"241301","HAI_2_DEVICEDAYS","Not Available","5"
"241301","HAI_2_CI_UPPER",,"5"
"241301","HAI_2_CI_LOWER",,"5"
"241301","HAI_3_SIR","Not Available","5"
"241301","HAI_3_ELIGCASES","Not Available","5"
"241301","HAI_3_NUMERATOR","Not Available","5"
"241301","HAI_3_PROCDAYS","Not Available","5"
"241301","HAI_3_CI_UPPER",,"5"
"241301","HAI_3_CI_LOWER",,"5"
"241301","HAI_4_SIR","Not Available","5"
"241301","HAI_4_ELIGCASES","Not Available","5"
"241301","HAI_4_NUMERATOR","Not Available","5"
"241301","HAI_4_PROCDAYS","Not Available","5"
"241301","HAI_4_CI_UPPER",,"5"
"241301","HAI_4_CI_LOWER",,"5"
"340145","HAI_1_SIR","Not Available","5"
"340145","HAI_1_ELIGCASES","0.739","5"
"340145","HAI_1_NUMERATOR","1","5"
"340145","HAI_1_DEVICEDAYS","Not Available","4"
"340145","HAI_1_CI_UPPER",,"5"
"340145","HAI_1_CI_LOWER",,"5"
"340145","HAI_2_SIR","Not Available","5"
"340145","HAI_2_ELIGCASES","0.575","5"
"340145","HAI_2_NUMERATOR","0","5"
"340145","HAI_2_DEVICEDAYS","442","5"
"340145","HAI_2_CI_UPPER",,"5"
"340145","HAI_2_CI_LOWER",,"5"
"340145","HAI_3_SIR","Not Available","5"
"340145","HAI_3_ELIGCASES","0.165","5"
"340145","HAI_3_NUMERATOR","1","5"
"340145","HAI_3_PROCDAYS","5","5"
"340145","HAI_3_CI_UPPER",,"5"
